filename,width,height,class,xmin,ymin,xmax,ymax
01G2YKD7N7Y3MH3YK01Y7WPXY5_jpeg.rf.0a97f54802e7b0b66422d4a22300c0c9.jpg,640,640,banana,0,61,640,566
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,29,405,268,623
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,275,400,506,627
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,142,226,386,472
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,392,208,640,457
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,1,276,172,471
69adc8fe066d4c60893b1f0a31a3308c_large_png.rf.9c4738d0528635f9f085824893e2e76f.jpg,640,640,orange,132,138,375,291

S__3539017_0_jpg.rf.86829d640dba2bfb69cc3b836420c401.jpg,640,640,apple,180,260,448,454
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,214,252,277,342
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,256,378,326,456
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,83,362,153,448
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,337,286,403,404
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,153,365,212,433
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,71,300,136,365
Apples-in-Crate_MKN_jpg.rf.69d17dde1799b18968fd2a9232538c2d.jpg,640,640,apple,212,349,260,425
01G2YKD7NAQFXRQH4S7397BH9P_jpeg.rf.5f4cf2fa237f9177d0eeddc8ba6ef60d.jpg,640,640,banana,0,61,640,566
109_100-3-_jpg.rf.1eeb450f710e5712686fd44336c53f0c.jpg,640,640,banana,13,70,640,558
01G2YKD86JVQC7X4DFM7RFHYQH_jpeg.rf.79d417912770a4fa151b4170deebb173.jpg,640,640,banana,6,77,621,525
000147_jpg.rf.77a0617fcbd94ae2de7e62d1d3653ba5.jpg,640,640,banana,65,73,322,549
000147_jpg.rf.77a0617fcbd94ae2de7e62d1d3653ba5.jpg,640,640,banana,334,76,594,551
U7c644b9fae534d3baa676e622a02e7098_jpg.rf.515378668bd7f8ed4c57eea06dbf1626.jpg,640,640,orange,143,322,462,564
U7c644b9fae534d3baa676e622a02e7098_jpg.rf.515378668bd7f8ed4c57eea06dbf1626.jpg,640,640,orange,86,101,443,431
fresh-379-_png.rf.d404dd80f144033214539739173418f4.jpg,640,640,orange,52,30,617,565
IMG_5643_JPG.rf.48a7176382c9bea5814f78fe5cf3adfc.jpg,640,640,pineapple,150,45,449,556
200580_jpg.rf.f2bc0e1c27ac5d170fe203515625a774.jpg,640,640,banana,373,148,596,590
-00012_jpeg_jpg.rf.dee3834c111744105f44611da356c383.jpg,640,640,apple,0,0,640,640
000177_jpg.rf.9129beebf70366406fc51a6937dc271b.jpg,640,640,banana,72,64,525,583
200547_jpg.rf.c31c3e91d812cd185d372341c97a4556.jpg,640,640,banana,233,65,607,524
JPEG-image-9_jpeg_jpg.rf.5348ca051d25ca92db1a140b11e44e62.jpg,640,640,apple,0,0,640,640
cam396_jpg.rf.93aca8246da5ecf6878c24974dbecaef.jpg,640,640,orange,105,201,503,398
01G2YKD8R6VEWYNTA8AC1PEHK9_jpeg.rf.eabcf47124aa47c12cb315cc311f35c9.jpg,640,640,banana,6,77,621,525
-00002_jpeg_jpg.rf.35794b0be4fc2a40e848cbf2dd4be394.jpg,640,640,apple,0,0,640,640
data-19_jpg.rf.6e6c72a652b155d4ea219f014b6642ee.jpg,640,640,grapes,84,117,343,477
data-19_jpg.rf.6e6c72a652b155d4ea219f014b6642ee.jpg,640,640,grapes,334,164,581,603
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,132,279,252,385
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,67,344,180,454
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,188,359,307,469
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,311,381,415,485
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,257,271,353,373
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,364,298,464,394
AQADbcsxG-SQyUty_jpg.rf.8eaa00fabaa1dfc9152d7bef8fc0aa10.jpg,640,640,apple,511,317,617,405
AQAD28UxG_0HKEh-_jpg.rf.f686b03753d2cab25018244e8cf66146.jpg,640,640,apple,283,33,593,455
AQAD28UxG_0HKEh-_jpg.rf.f686b03753d2cab25018244e8cf66146.jpg,640,640,apple,56,192,315,536
IMG_5788_JPG.rf.0ceb98228ef0e1f1dd5b3f78d6ee4a71.jpg,640,640,pineapple,193,61,402,442
data-21_jpg.rf.01e17474df2d57e25b36104426c05009.jpg,640,640,grapes,63,62,616,626
AQADBsUxGwcQ6Et-_jpg.rf.d90319d24f1d800f6be8418b66fb21a2.jpg,640,640,apple,232,124,532,580
01G2YKD6FZ85BN7NRZHZW690GD_jpeg.rf.bdf72d19e61557b88106772cf1fba118.jpg,640,640,banana,6,19,608,589
2a5f9b1e-7bca-4412-b_jpg.rf.96878a2bcc6039c369e5d92c5bad1055.jpg,640,640,pineapple,60,0,225,588
2a5f9b1e-7bca-4412-b_jpg.rf.96878a2bcc6039c369e5d92c5bad1055.jpg,640,640,pineapple,240,127,455,640
2a5f9b1e-7bca-4412-b_jpg.rf.96878a2bcc6039c369e5d92c5bad1055.jpg,640,640,pineapple,245,85,313,201
2a5f9b1e-7bca-4412-b_jpg.rf.96878a2bcc6039c369e5d92c5bad1055.jpg,640,640,pineapple,463,0,607,622
Banana__Healthy_augmented_5_jpg.rf.76c7ad55cf2dc28d44db65f00c26ef97.jpg,640,640,banana,247,6,474,588
Banana__Healthy_augmented_5_jpg.rf.76c7ad55cf2dc28d44db65f00c26ef97.jpg,640,640,banana,41,21,640,618
478_jpeg.rf.491ac20baeb5419a98bcea82148adee7.jpg,640,640,pineapple,168,28,363,640
478_jpeg.rf.491ac20baeb5419a98bcea82148adee7.jpg,640,640,pineapple,357,0,602,631
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,218,322,277,356
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,260,276,331,338
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,278,337,315,372
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,138,247,210,293
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,215,295,263,327
G03_jpg.rf.bd4f4f4157ddd53da2072bcb04e68aa2.jpg,640,640,apple,205,230,256,295
000187_jpg.rf.feff5dac08eb1c36adefc780aa6da1bc.jpg,640,640,banana,111,184,273,467
S__3539016_0_jpg.rf.8306de3e67283fbe283816ad70690e18.jpg,640,640,apple,0,299,115,440
-00012_jpeg_jpg.rf.5c28d10b8bc64e43e9d6bd3c1bf2c3af.jpg,640,640,apple,0,0,640,640
